Sample.ID,Organism,habitat,Org_Mor,Population_geo,R.S.,Climate,region_16S,lat,long,month,year,origin,swab,tm_max,tm_min,pre,elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,BIOME,ECO_NAME,Family,Study,pielou_evenness,faith_pd,observed_features,shannon_entropy,Sample_id
515rcbc93_ER8415_S93,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.476603842,93.90211561,180,3.570645967,SRR23105263
515rcbc99_ER8415_S99,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.190635898,49.73203367,94,1.249539932,SRR23105262
ASMR2533,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.59315,-97.09306,5,2015,wild,body,19.7700043,7.30150986,87.1986618,3075,10.208333,10.2833338,65.918808,136.195602,18.3999996,2.79999995,15.5999994,10.6333332,9.13333321,11.8999996,8.44999981,1570,306,30,88.479454,876,96,393,99,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.673215714,79.89627092,89,4.359565504,GSMR2460
ASMR2536,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.59315,-97.09306,5,2015,wild,body,19.7700043,7.30150986,87.1986618,3075,10.208333,10.2833338,65.918808,136.195602,18.3999996,2.79999995,15.5999994,10.6333332,9.13333321,11.8999996,8.44999981,1570,306,30,88.479454,876,96,393,99,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.909822454,67.43229399,94,5.963512113,GSMR2464
ASMR2537,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.59315,-97.09306,5,2015,wild,body,19.7700043,7.30150986,87.1986618,3075,10.208333,10.2833338,65.918808,136.195602,18.3999996,2.79999995,15.5999994,10.6333332,9.13333321,11.8999996,8.44999981,1570,306,30,88.479454,876,96,393,99,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.740514442,28.58769215,25,3.438842577,GSMR2465
ASMR2538,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.59315,-97.09306,5,2015,wild,body,19.7700043,7.30150986,87.1986618,3075,10.208333,10.2833338,65.918808,136.195602,18.3999996,2.79999995,15.5999994,10.6333332,9.13333321,11.8999996,8.44999981,1570,306,30,88.479454,876,96,393,99,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.887613835,170.0703227,225,6.935620286,CSMR2532
ASMR2539,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,19.59315,-97.09306,5,2015,wild,body,19.7700043,7.30150986,87.1986618,3075,10.208333,10.2833338,65.918808,136.195602,18.3999996,2.79999995,15.5999994,10.6333332,9.13333321,11.8999996,8.44999981,1570,306,30,88.479454,876,96,393,99,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.852367207,85.50119075,125,5.937406093,CSMR2542
ASMR2553,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,18.97973,-97.213,5,2015,wild,body,17.0470772,4.05344772,109.901459,2971,9.61250019,12.791667,71.8632965,114.079819,18.5,0.69999999,17.7999992,9.96666622,8.89999962,11,8.1833334,1152,196,26,75.3866501,571,82,310,91,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.910853776,920.9311381,1194,9.310371229,CSMR2543
ASMR2558,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,18.97192,-97.28661,5,2015,wild,body,15.1676807,2.44278002,129.170624,3580,7.97916651,12.5083332,75.3514099,86.7456589,16.2999992,-0.30000001,16.5999985,8.1833334,6.86666679,9.05000019,6.86666679,1391,265,23,87.3174133,755,72,384,72,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.936711239,167.4083425,509,8.422459573,CSMR2545
ASMR2559,Pseudoeurycea leprosa,Terrestrial,Pseudoeurycea leprosa_Terrestrial,Pseudoeurycea leprosa_Terrestrial_p,S,Tropical,V4,18.97192,-97.28661,5,2015,wild,body,15.1676807,2.44278002,129.170624,3580,7.97916651,12.5083332,75.3514099,86.7456589,16.2999992,-0.30000001,16.5999985,8.1833334,6.86666679,9.05000019,6.86666679,1391,265,23,87.3174133,755,72,384,72,Tropical & Subtropical Coniferous Forests,Trans-Mexican Volcanic Belt pine-oak forests,Plethodontidae,PRJNA830991,0.748828639,109.8801131,158,5.469280195,CSMR2546
